time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:16:29.646972,172806,1703495789,644957978,/gps,0,0,24.8828143183,121.156081757,352.089996338,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.697253,172807,1703495789,695332972,/gps,0,0,24.8828138383,121.156081952,352.079986572,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.747368,172808,1703495789,744982108,/gps,0,0,24.8828133567,121.156082155,352.079986572,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.797610,172809,1703495789,795380260,/gps,0,0,24.8828128733,121.156082358,352.079986572,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.846678,172810,1703495789,844940605,/gps,0,0,24.8828123967,121.156082568,352.079986572,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.896943,172811,1703495789,895524299,/gps,0,0,24.8828119283,121.156082778,352.079986572,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.947182,172812,1703495789,945064697,/gps,0,0,24.8828114583,121.15608299,352.079986572,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:30.010239,172813,1703495789,998639206,/gps,0,0,24.8828109833,121.156083193,352.070007324,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:30.046856,172814,1703495790,45114415,/gps,0,0,24.8828105,121.156083397,352.070007324,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.097146,172815,1703495790,95257421,/gps,0,0,24.8828100183,121.1560836,352.070007324,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
